Hit,Protein1,Protein2,E,Score,Organism
10539,Q922S8,Q95LT1,1.3e-183,616.8,Macaca fascicularis
10540,Q922S8,A6H750,8.399999999999999e-183,614.1,Bos taurus
10541,P51220,Q1XDR7,1.6000000000000001e-111,375.2,Pyropia yezoensis
10542,P51220,Q19V70,8.3e-77,262.0,Chlorokybus atmophyticus
10543,P51220,Q20EU3,1.3e-70,241.8,Oltmannsiellopsis viridis
10544,P51220,Q3MDS1,2.5e-70,240.9,Trichormus variabilis ATCC 29413
10545,P51220,Q9TKZ3,4.3e-70,240.1,Nephroselmis olivacea
10546,P51220,A0T0A2,5.899999999999997e-69,236.4,Phaeodactylum tricornutum (strain CCAP 1055/1)
10547,P51220,Q3ZJ14,8.499999999999999e-68,232.6,Tupiella akineta
10548,P51220,Q118V7,8.8e-68,232.6,Trichodesmium erythraeum (strain IMS101)
10549,P51220,P49526,7.6e-67,229.5,Trieres chinensis
10550,P51220,B2J2W1,7.2e-66,226.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10551,P51220,B7JVR2,3.1e-65,224.3,Rippkaea orientalis (strain PCC 8801)
10552,Q9M9L7,P93648,0.0,1370.7,Zea mays
10553,Q9M9L7,Q00WL5,6.8e-291,972.0,Ostreococcus tauri
10554,Q9M9L7,A4S6Y4,1.6e-290,970.8,Ostreococcus lucimarinus (strain CCE9901)
10555,Q9M9L7,Q8CGK3,1.7e-251,841.6,Mus musculus
10556,Q9M9L7,P36776,5.7e-250,836.6,Homo sapiens
10557,Q9M9L7,Q59HJ6,1.8e-249,834.9,Bos taurus
10558,Q9M9L7,A2QCJ2,1.4e-247,828.7,Aspergillus niger (strain CBS 513.88 / FGSC A1513)
10559,Q9M9L7,Q7S8C4,1.5e-244,818.7,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)
10560,Q9M9L7,Q5AZT7,1.5e-244,818.6,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
10561,Q9M9L7,Q4X0Z7,2.7e-244,817.8,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100)
10562,Q9M9L7,Q7KUT2,1.2999999999999999e-242,812.2,Drosophila melanogaster
10563,Q85BW6,P59168,9.5e-72,243.4,Thermosynechococcus elongatus (strain BP-1)
10564,Q85BW6,B8HVS0,4.900000000000001e-71,241.1,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
10565,Q85BW6,B0CCD3,9.3e-70,237.0,Acaryochloris marina (strain MBIC 11017)
10566,Q85BW6,B1XI66,9.6e-70,237.0,Synechococcus sp. PCC 7002
10567,Q85BW6,Q118Z5,1e-69,236.9,Trichodesmium erythraeum (strain IMS101)
10568,Q9Z3G1,B7JUD9,2.5e-16,62.0,Rippkaea orientalis (strain PCC 8801)
10569,Q9Z3G1,B1WY29,2.6e-16,61.9,Crocosphaera subtropica (strain ATCC 51142 / BH68)
10570,Q9Z3G1,O78505,4.5e-16,61.2,Guillardia theta
10571,Q9Z3G1,B0JUK8,5.5e-16,61.0,Microcystis aeruginosa (strain NIES-843)
10572,Q9Z3G1,P74149,9.2e-16,60.3,Synechocystis sp. (strain PCC 6803 / Kazusa)
10573,Q9Z3G1,Q1ACI5,1.9e-15,59.3,Chara vulgaris
10574,Q9Z3G1,Q32RH6,2.2e-15,59.2,Zygnema circumcarinatum
10575,Q9Z3G1,Q8M9Y4,2.2e-15,59.1,Chaetosphaeridium globosum
10576,Q9Z3G1,Q32RT5,5.9e-15,57.8,Staurastrum punctulatum
10577,Q9Z3G1,Q1XDG9,7.8e-15,57.5,Pyropia yezoensis
10578,P49517,A0T0F8,2.3e-25,92.6,Phaeodactylum tricornutum (strain CCAP 1055/1)
10579,P49517,Q2JQZ8,7.3e-23,84.7,Synechococcus sp. (strain JA-3-3Ab)
10580,P49517,A9BD51,6.5e-21,78.5,Prochlorococcus marinus (strain MIT 9211)
10581,P49517,Q2NBQ2,1.4e-20,77.5,Erythrobacter litoralis (strain HTCC2594)
10582,P49517,Q1GWG9,6.7e-20,75.3,Sphingopyxis alaskensis (strain DSM 13593 / LMG 18877 / RB2256)
10583,P49517,Q2G8P0,8.8e-20,75.0,Novosphingobium aromaticivorans (strain ATCC 700278 / DSM 12444 / CCUG 56034 / CIP 105152 / NBRC 16084 / F199)
10584,P49517,Q8RGX5,1.3e-19,74.5,Fusobacterium nucleatum subsp. nucleatum (strain ATCC 25586 / DSM 15643 / BCRC 10681 / CIP 101130 / JCM 8532 / KCTC 2640 / LMG 13131 / VPI 4355)
10585,P49517,Q9KA04,2.7e-19,73.4,Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125)
10586,P49517,Q6MLJ8,2.9e-19,73.3,Bdellovibrio bacteriovorus (strain ATCC 15356 / DSM 50701 / NCIMB 9529 / HD100)
10587,P49517,C0ZFP2,3.1e-19,73.2,Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599)
10588,F7A355,F6VSS6,8.5e-109,369.0,Xenopus tropicalis
10589,F7A355,Q3MHN8,2.1e-108,367.7,Bos taurus
10590,F7A355,Q9D0C4,2e-105,357.9,Mus musculus
10591,F7A355,Q95KJ2,3.5e-102,347.2,Macaca fascicularis
10592,F7A355,Q32P41,1.8e-101,344.8,Homo sapiens
10593,F7A355,F4NUJ6,1e-79,273.2,Batrachochytrium dendrobatidis (strain JAM81 / FGSC 10211)
10594,F7A355,Q8TFG7,2.2e-74,255.6,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
10595,F7A355,A8N339,7.2e-74,253.9,Coprinopsis cinerea (strain Okayama-7 / 130 / ATCC MYA-4618 / FGSC 9003)
10596,F7A355,D0NLC2,1.2e-71,246.6,Phytophthora infestans (strain T30-4)
10597,F7A355,C7YK87,6.3e-71,244.2,Fusarium vanettenii (strain ATCC MYA-4622 / CBS 123669 / FGSC 9596 / NRRL 45880 / 77-13-4)
10598,Q02850,Q6B8R0,2.3000000000000002e-58,201.4,Gracilaria tenuistipitata var. liui
10599,Q02850,A6MVW6,5.6e-46,161.2,Rhodomonas salina
10600,Q02850,O78477,7.299999999999996e-41,144.6,Guillardia theta
10601,Q02850,B2J056,3.4000000000000003e-22,84.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10602,Q02850,A0T0E9,1.2e-19,75.8,Phaeodactylum tricornutum (strain CCAP 1055/1)
10603,Q9MUT7,Q1KVR8,1.4e-94,319.2,Tetradesmus obliquus
10604,Q9MUT7,Q06SJ8,2.5e-93,315.2,Stigeoclonium helveticum
10605,Q9MUT7,O20031,2.3999999999999998e-92,312.0,Chlamydomonas reinhardtii
10606,Q9MUT7,A6YG60,2.3e-91,308.8,Pleurastrum terricola
10607,P49498,A0T0K7,9.9e-37,129.8,Phaeodactylum tricornutum (strain CCAP 1055/1)
10608,P49498,B1WQY3,5.300000000000001e-28,101.9,Crocosphaera subtropica (strain ATCC 51142 / BH68)
10609,P49498,Q2JMX6,9.6e-28,101.1,Synechococcus sp. (strain JA-2-3B'a(2-13))
10610,P49498,B8HV47,2.2e-27,100.0,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
10611,P49498,B2J5B2,2.2e-27,99.9,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10612,P49498,P48852,3.1e-27,99.5,Arthrospira platensis
10613,P49498,B7K833,4.3e-27,99.0,Gloeothece citriformis (strain PCC 7424)
10614,P49498,Q3MDM6,6e-27,98.5,Trichormus variabilis ATCC 29413
10615,P49498,Q8YP64,6e-27,98.5,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
10616,P49498,B0JSD9,8.4e-27,98.1,Microcystis aeruginosa (strain NIES-843)
10617,P49498,B1XI62,8.4e-27,98.1,Synechococcus sp. PCC 7002
10618,P49498,Q2JUX3,9.5e-27,97.9,Synechococcus sp. (strain JA-3-3Ab)
10619,P49498,B0CCC9,1.4e-26,97.3,Acaryochloris marina (strain MBIC 11017)
10620,P49498,Q3AMT7,6e-26,95.3,Synechococcus sp. CC9605
10621,P49498,Q31PV6,8.4e-26,94.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10622,P56366,P15761,9.9e-48,164.7,Cyanophora paradoxa
10623,P56366,B7KHZ1,4.399999999999996e-47,162.7,Gloeothece citriformis (strain PCC 7424)
10624,P56366,P59776,4.7e-46,159.4,Chlamydomonas reinhardtii
10625,P56366,Q4VZM8,6.4e-46,159.0,Cucumis sativus
10626,P51293,Q1XDJ5,6.5e-192,641.1,Pyropia yezoensis
10627,P51293,A6MW22,2.4e-138,465.3,Rhodomonas salina
10628,P51293,Q01569,5.100000000000001e-133,447.9,Pyrenomonas salina
10629,P51293,P48118,2.3e-124,419.5,Cyanophora paradoxa
10630,P51293,Q8YPK3,6.900000000000001e-124,417.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
10631,P51293,O46914,1.3e-123,417.0,Guillardia theta
10632,P51293,Q110D1,1.0999999999999999e-121,410.7,Trichodesmium erythraeum (strain IMS101)
10633,P51293,P73297,1.2e-117,397.5,Synechocystis sp. (strain PCC 6803 / Kazusa)
10634,P51293,Q7NFF5,3.2e-112,379.6,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
10635,P51293,Q2JL74,3.4e-112,379.5,Synechococcus sp. (strain JA-2-3B'a(2-13))
10636,P51293,O24710,1.3000000000000001e-110,374.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
10637,P51293,Q31L30,1.3000000000000001e-110,374.4,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10638,P51293,A0T0Z4,3e-98,333.8,Thalassiosira pseudonana
10639,Q9ZSA7,Q9ZSA8,4.6e-179,599.6,Arabidopsis thaliana
10640,Q9ZSA7,O80449,1.8e-64,222.9,Arabidopsis thaliana
10641,Q9CZ42,Q5R824,3.6e-175,586.6,Pongo abelii
10642,Q9CZ42,E2QUI9,4e-173,579.8,Canis lupus familiaris
10643,Q9CZ42,E1BNQ4,4.8e-168,563.1,Bos taurus
10644,Q9CZ42,Q17NP0,1.3e-84,289.0,Aedes aegypti
10645,Q9CZ42,F6HDM2,8e-79,269.9,Vitis vinifera
10646,Q9CZ42,O94347,7.2e-77,263.5,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
10647,P13576,Q118Z5,1.2e-74,252.9,Trichodesmium erythraeum (strain IMS101)
10648,P13576,P63199,3.200000000000001e-74,251.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
10649,P13576,P63200,3.200000000000001e-74,251.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10650,P13576,B8HVS0,5e-74,250.9,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
10651,P13576,B2J5A8,1.6e-72,246.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10652,P13576,P59168,1.7e-72,246.0,Thermosynechococcus elongatus (strain BP-1)
10653,P13576,B7JUP8,2.7e-71,242.1,Rippkaea orientalis (strain PCC 8801)
10654,P13576,B1WQY7,4.2e-71,241.5,Crocosphaera subtropica (strain ATCC 51142 / BH68)
10655,A0T0Z2,P49501,4.6e-66,225.3,Trieres chinensis
10656,A0T0Z2,A0T0J8,6.2e-63,215.3,Phaeodactylum tricornutum (strain CCAP 1055/1)
10657,A0T0Z2,Q1XDJ3,1e-40,143.7,Pyropia yezoensis
10658,A0T0Z2,O46912,3.7e-40,141.9,Guillardia theta
10659,A0T0Z2,P48137,4.1e-40,141.7,Cyanophora paradoxa
10660,A0T0Z2,P51295,1.0000000000000001e-39,140.5,Porphyra purpurea
10661,A0T0Z2,Q8DML1,2.8e-39,139.0,Thermosynechococcus elongatus (strain BP-1)
10662,A0T0Z2,B0TC82,8.8e-39,137.5,Heliobacterium modesticaldum (strain ATCC 51547 / Ice1)
10663,A0T0Z2,A6MW20,1.1e-38,137.1,Rhodomonas salina
10664,A0T0Z2,Q97EK3,4.2e-38,135.3,Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)
10665,A0T0Z2,Q2JUJ3,4.2e-38,135.3,Synechococcus sp. (strain JA-3-3Ab)
10666,A0T0Z2,Q2JL76,4.4e-38,135.2,Synechococcus sp. (strain JA-2-3B'a(2-13))
10667,Q3MCF9,Q8YQ44,9.999999999999999e-32,112.2,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
10668,Q3MCF9,B2J4U7,2.0000000000000002e-29,105.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10669,Q3MCF9,D0VWR5,8.199999999999999e-24,87.3,Thermosynechococcus vulcanus
10670,Q3MCF9,B8HYC0,5.7e-21,78.4,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
10671,Q3MCF9,B1WWA0,3.4e-19,72.8,Crocosphaera subtropica (strain ATCC 51142 / BH68)
10672,Q3MCF9,B1XLJ0,2.8e-18,70.0,Synechococcus sp. PCC 7002
10673,P04636,P08249,4.9e-222,740.6,Mus musculus
10674,P04636,P00346,3.1e-215,718.2,Sus scrofa
10675,P04636,P40926,4.2000000000000003e-213,711.2,Homo sapiens
10676,P04636,Q5NVR2,1.9e-212,709.1,Pongo abelii
10677,P04636,P83373,2.5000000000000004e-125,422.9,Fragaria ananassa
10678,P04636,P17783,1.2e-120,407.4,Citrullus lanatus
10679,P04636,Q9ZP06,9e-120,404.6,Arabidopsis thaliana
10680,P04636,Q9LKA3,7.7000000000000005e-118,398.2,Arabidopsis thaliana
10681,P04636,P46487,2.1e-116,393.5,Eucalyptus gunnii
10682,Q7V9X4,A9BCN5,3.2e-105,353.9,Prochlorococcus marinus (strain MIT 9211)
10683,Q7V9X4,B1X4Z6,5.7000000000000005e-98,330.4,Paulinella chromatophora
10684,Q7V9X4,Q8DMM0,1.2e-88,300.0,Thermosynechococcus elongatus (strain BP-1)
10685,Q4G345,Q8YPK8,1.4e-35,125.2,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
10686,Q4G345,Q3MF92,1.4e-35,125.2,Trichormus variabilis ATCC 29413
10687,Q4G345,P51290,2.2e-35,124.6,Porphyra purpurea
10688,Q4G345,B2ITM6,3.8e-35,123.8,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10689,Q4G345,Q1XDJ8,4.1e-35,123.7,Pyropia yezoensis
10690,Q4G345,O46917,5.2e-35,123.4,Guillardia theta
10691,Q4G345,Q31L35,2.2e-34,121.4,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10692,Q4G345,Q5N0T7,2.2e-34,121.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
10693,Q4G345,P73292,2.2e-34,121.4,Synechocystis sp. (strain PCC 6803 / Kazusa)
10694,Q4G345,Q2JL69,1.5e-33,118.8,Synechococcus sp. (strain JA-2-3B'a(2-13))
10695,Q4G345,Q2JUK0,2.5e-33,118.1,Synechococcus sp. (strain JA-3-3Ab)
10696,Q4G345,Q46IT7,9.8e-33,116.2,Prochlorococcus marinus (strain NATL2A)
10697,Q4G345,Q3AW65,1.3e-32,115.8,Synechococcus sp. CC9902
10698,Q4G345,Q5MIM5,1.4e-32,115.7,Palmaria palmata
10699,Q9TL02,Q1KVR8,5.4e-100,336.8,Tetradesmus obliquus
10700,Q9TL02,Q06SJ8,1.2e-99,335.7,Stigeoclonium helveticum
10701,Q9TL02,A6YG60,4.5e-99,333.9,Pleurastrum terricola
10702,Q9TL02,O20031,6.5e-97,326.8,Chlamydomonas reinhardtii
10703,Q9TL02,Q9MUT7,7.4e-96,323.4,Mesostigma viride
10704,Q2KII1,P18625,1.4e-17,69.0,Gallus gallus
10705,B4LM90,B4P5U9,2.2e-230,769.1,Drosophila yakuba
10706,B4LM90,Q178M1,7.999999999999999e-192,642.3,Aedes aegypti
10707,B4LM90,A7RRJ0,2.6000000000000006e-167,561.6,Nematostella vectensis
10708,B4LM90,P70054,2.3e-165,555.2,Xenopus laevis
10709,B4LM90,C1BM18,1.0000000000000002e-164,553.1,Osmerus mordax
10710,P73298,B0JY39,1.8e-77,262.2,Microcystis aeruginosa (strain NIES-843)
10711,P73298,B7KI10,5.5e-76,257.4,Gloeothece citriformis (strain PCC 7424)
10712,P73298,B7K225,1.9e-75,255.7,Rippkaea orientalis (strain PCC 8801)
10713,P73298,Q110D0,3.5000000000000004e-73,248.4,Trichodesmium erythraeum (strain IMS101)
10714,P73298,O24709,2.3e-72,245.7,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
10715,P73298,Q8YPK2,5.200000000000001e-71,241.4,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
10716,P73298,Q3MF98,5.200000000000001e-71,241.4,Trichormus variabilis ATCC 29413
10717,P73298,B0C431,6.9e-71,241.0,Acaryochloris marina (strain MBIC 11017)
10718,P73298,P59379,1.7999999999999998e-69,236.4,Thermosynechococcus elongatus (strain BP-1)
10719,P73298,A5GIS3,6.900000000000001e-67,228.0,Synechococcus sp. (strain WH7803)
10720,B7K833,B0JSD9,2.2e-65,222.1,Microcystis aeruginosa (strain NIES-843)
10721,B7K833,B1XI62,2.2e-65,222.1,Synechococcus sp. PCC 7002
10722,B7K833,P48852,1.9e-64,219.1,Arthrospira platensis
10723,B7K833,Q3MDM6,2.1e-64,219.0,Trichormus variabilis ATCC 29413
10724,B7K833,B1WQY3,1.2e-63,216.5,Crocosphaera subtropica (strain ATCC 51142 / BH68)
10725,B7K833,B8HV47,5.6e-61,208.0,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
10726,B7K833,Q2JMX6,4.4e-58,198.7,Synechococcus sp. (strain JA-2-3B'a(2-13))
10727,B7K833,Q2JUX3,3.2e-57,195.9,Synechococcus sp. (strain JA-3-3Ab)
10728,B7K833,Q3AMT7,4.7e-57,195.4,Synechococcus sp. CC9605
10729,B7K833,A9BCJ9,1.3e-56,194.0,Prochlorococcus marinus (strain MIT 9211)
10730,Q10WA3,Q1XDT1,1.8e-11,47.2,Pyropia yezoensis
10731,Q10WA3,Q6B935,5.9e-11,45.7,Gracilaria tenuistipitata var. liui
10732,Q10WA3,B2J1B5,8.3e-11,45.2,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10733,Q10WA3,B7KIS7,1.6e-09,41.4,Gloeothece citriformis (strain PCC 7424)
10734,Q10WA3,Q5N047,5.3e-09,39.8,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
10735,Q10WA3,Q4G385,1.4e-08,38.5,Emiliania huxleyi
10736,Q10WA3,B7JX92,1.5e-08,38.4,Rippkaea orientalis (strain PCC 8801)
10737,Q10WA3,O78433,1.8e-08,38.2,Guillardia theta
10738,Q10WA3,Q85G61,2e-08,38.0,Cyanidioschyzon merolae (strain 10D)
10739,Q5N1Q1,Q9SZD6,2.1e-161,538.4,Arabidopsis thaliana
10740,Q5N1Q1,A2ZLC1,3.7e-160,534.4,Oryza sativa subsp. indica
10741,Q5N1Q1,Q2QP54,3.7e-160,534.4,Oryza sativa subsp. japonica
10742,Q5N1Q1,A8J637,2e-154,515.6,Chlamydomonas reinhardtii
10743,Q5N1Q1,Q31K58,4.6e-138,462.2,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10744,Q5N1Q1,Q8YMY3,2.5e-119,401.1,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
10745,Q5N1Q1,Q3MBF4,3.5e-119,400.6,Trichormus variabilis ATCC 29413
10746,Q5N1Q1,B2J6U8,1.9e-116,391.7,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10747,Q5N1Q1,B1XQQ0,1.7e-109,369.0,Synechococcus sp. PCC 7002
10748,Q5N1Q1,Q7U794,1.2e-103,349.9,Synechococcus sp. (strain WH8102)
10749,Q5N3N6,Q31QK6,4.299999999999999e-68,231.3,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10750,Q5N3N6,B1XJG9,7.599999999999999e-56,191.9,Synechococcus sp. PCC 7002
10751,Q5N3N6,Q8DM25,8.299999999999999e-55,188.6,Thermosynechococcus elongatus (strain BP-1)
10752,Q5N3N6,B7KIR5,9.3e-55,188.4,Gloeothece citriformis (strain PCC 7424)
10753,Q5N3N6,B8HVL2,4.7e-54,186.2,Cyanothece sp. (strain PCC 7425 / ATCC 29141)
10754,Q5N3N6,B7JWT5,9.999999999999999e-54,185.1,Rippkaea orientalis (strain PCC 8801)
10755,Q5N3N6,P23349,1.8e-53,184.3,Synechocystis sp. (strain PCC 6803 / Kazusa)
10756,Q5N3N6,B1X073,3.7e-53,183.3,Crocosphaera subtropica (strain ATCC 51142 / BH68)
10757,Q5N3N6,Q3MA16,4.9e-51,176.5,Trichormus variabilis ATCC 29413
10758,Q5N3N6,O78414,5.3e-49,169.9,Guillardia theta
10759,Q5N3N6,P51339,8.700000000000001e-48,166.0,Porphyra purpurea
10760,Q5N3N6,B0CAD2,1.8e-46,161.8,Acaryochloris marina (strain MBIC 11017)
10761,Q5N3N6,A0T0Q7,1.8000000000000002e-44,155.4,Thalassiosira pseudonana
10762,Q5N3N6,P49550,3.1000000000000003e-44,154.6,Trieres chinensis
10763,C7Z527,B2AT43,1.5e-205,687.6,Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)
10764,C7Z527,D1Z4I6,2.4000000000000001e-203,680.3,Sordaria macrospora (strain ATCC MYA-333 / DSM 997 / K(L3346) / K-hell)
10765,C7Z527,B8NUL8,5.1e-174,583.8,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)
10766,C7Z527,A1CJC4,4e-173,580.8,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107)
10767,C7Z527,Q5AQE4,3.9e-172,577.6,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)
10768,O78460,A6MVU9,2.2e-14,55.1,Rhodomonas salina
10769,O78460,Q06SC8,1.6e-07,34.8,Stigeoclonium helveticum
10770,O78460,P51385,2.8e-07,34.1,Porphyra purpurea
10771,O78460,P61051,1.3e-06,32.1,Physcomitrium patens
10772,O78460,Q32RW9,2e-06,31.5,Staurastrum punctulatum
10773,O78460,P49529,5.1e-06,30.3,Trieres chinensis
10774,O78460,Q8M9Z7,6e-06,30.1,Chaetosphaeridium globosum
10775,O78460,A6H5F0,1.4e-05,29.0,Cycas taitungensis
10776,O78460,A0T0T2,2.4e-05,28.3,Thalassiosira pseudonana
10777,O78460,Q4G3D2,2.5e-05,28.3,Emiliania huxleyi
10778,Q31NL7,Q117D3,2.7e-27,98.5,Trichodesmium erythraeum (strain IMS101)
10779,Q8YMX2,B1WU11,6.7e-32,114.0,Crocosphaera subtropica (strain ATCC 51142 / BH68)
10780,Q8YMX2,B0JSQ9,3.5e-31,111.7,Microcystis aeruginosa (strain NIES-843)
10781,B1WQR2,B7K333,1.2e-47,164.8,Rippkaea orientalis (strain PCC 8801)
10782,B1WQR2,P73318,3.3e-42,147.4,Synechocystis sp. (strain PCC 6803 / Kazusa)
10783,B1WQR2,B2ITQ3,3.1e-40,141.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10784,B1WQR2,Q8DMM9,1e-35,126.6,Thermosynechococcus elongatus (strain BP-1)
10785,B1WQR2,O24691,2.2e-35,125.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
10786,B1WQR2,Q31L09,2.2e-35,125.5,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10787,B1WQR2,P51312,1.6000000000000002e-33,119.6,Porphyra purpurea
10788,B1WQR2,Q1XDH6,5.200000000000001e-33,117.9,Pyropia yezoensis
10789,B1WQR2,Q7NPG8,7.100000000000001e-33,117.5,Gloeobacter violaceus (strain ATCC 29082 / PCC 7421)
10790,Q2JL27,Q8YNV9,1.5e-33,117.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
10791,Q2JL27,Q31P67,1.5e-33,117.9,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10792,Q2JL27,Q5N502,1.5e-33,117.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
10793,Q2JL27,B7JW32,6.400000000000001e-33,115.9,Rippkaea orientalis (strain PCC 8801)
10794,Q2JL27,B2J0D4,1.9999999999999998e-32,114.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10795,Q2JL27,B0JVN3,1.6999999999999996e-31,111.5,Microcystis aeruginosa (strain NIES-843)
10796,Q2JL27,Q3AJZ0,4.1e-31,110.2,Synechococcus sp. CC9605
10797,Q2JL27,B7KBE3,8.4e-31,109.3,Gloeothece citriformis (strain PCC 7424)
10798,Q2JL27,B1X3H9,3.4e-30,107.4,Paulinella chromatophora
10799,P10611,P14579,7.6e-313,1042.5,Oryctolagus cuniculus
10800,P10611,P14581,5.9e-299,996.7,Oryctolagus cuniculus
10801,P10611,Q02928,1e-291,972.8,Homo sapiens
10802,P10611,A2A974,6.2e-269,897.6,Mus musculus
10803,P10611,Q91WL5,2.9e-266,888.8,Mus musculus
10804,P10611,Q8SPK0,5.6e-263,878.0,Sus scrofa
10805,P10611,P20817,1.2e-259,867.0,Rattus norvegicus
10806,P10611,P20816,2.4e-257,859.4,Rattus norvegicus
10807,Q9MUN8,Q19V70,3.9e-93,315.0,Chlorokybus atmophyticus
10808,Q9MUN8,Q9TKZ3,6.999999999999999e-84,284.8,Nephroselmis olivacea
10809,Q9MUN8,Q20EU3,4.7e-81,275.6,Oltmannsiellopsis viridis
10810,Q9MUN8,Q3MDS1,1.8e-74,254.1,Trichormus variabilis ATCC 29413
10811,Q9MUN8,P51220,4.0000000000000014e-74,253.0,Porphyra purpurea
10812,Q9MUN8,Q1XDR7,4.1e-74,253.0,Pyropia yezoensis
10813,Q9MUN8,Q3ZJ14,2.5e-73,250.4,Tupiella akineta
10814,Q9MUN8,B2J2W1,5.6e-72,246.0,Nostoc punctiforme (strain ATCC 29133 / PCC 73102)
10815,Q9MUN8,B0JTK0,7.799999999999999e-70,239.0,Microcystis aeruginosa (strain NIES-843)
10816,B0JHZ8,B1XJT4,1.4e-67,229.6,Synechococcus sp. PCC 7002
10817,B0JHZ8,P73315,1.0000000000000001e-66,226.8,Synechocystis sp. (strain PCC 6803 / Kazusa)
10818,B0JHZ8,O24694,2.3e-63,216.0,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1)
10819,B0JHZ8,Q31L12,2.3e-63,216.0,Synechococcus elongatus (strain PCC 7942 / FACHB-805)
10820,B0JHZ8,Q8DMM6,3.7e-57,196.0,Thermosynechococcus elongatus (strain BP-1)
10821,B0JHZ8,Q3MFB6,2.8e-55,190.0,Trichormus variabilis ATCC 29413
10822,B0JHZ8,Q8YPI4,2.8e-55,190.0,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576)
10823,B0JHZ8,Q1XDH9,1.0999999999999999e-47,165.5,Pyropia yezoensis
10824,A6MVV7,O78468,1.9e-11,46.6,Guillardia theta
10825,A6MVV7,Q1XDR6,1.3e-06,32.3,Pyropia yezoensis
10826,A6MVV7,Q4G3B0,2.6e-06,31.3,Emiliania huxleyi
10827,A6MVV7,A0T0A1,0.023,19.6,Phaeodactylum tricornutum (strain CCAP 1055/1)
10828,A6MVV7,P49524,0.024,19.6,Trieres chinensis
10829,A6MVV7,A7M981,0.66,15.3,Cuscuta reflexa
