Hit,Protein1,Protein2,E,Score,Organism,concat1,concat2
24122,A9TND9,C6SXE1,3.4e-57,197.0,Glycine max,A9TND9C6SXE1,C6SXE1A9TND9
24123,A9TND9,B7FRE8,1.9e-45,159.0,Phaeodactylum tricornutum (strain CCAP 1055/1),A9TND9B7FRE8,B7FRE8A9TND9
24124,A9TND9,B5YM03,2.7999999999999997e-41,145.5,Thalassiosira pseudonana,A9TND9B5YM03,B5YM03A9TND9
24125,A9TND9,Q0I634,7.200000000000001e-28,102.0,Synechococcus sp. (strain CC9311),A9TND9Q0I634,Q0I634A9TND9
24126,A9TND9,Q48GB5,9.7e-27,98.4,Pseudomonas savastanoi pv. phaseolicola 1448A,A9TND9Q48GB5,Q48GB5A9TND9
24127,A9TND9,Q885A6,1.6e-26,97.7,Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000),A9TND9Q885A6,Q885A6A9TND9
24128,A9TND9,Q7U3E2,2.1e-26,97.3,Synechococcus sp. (strain WH8102),A9TND9Q7U3E2,Q7U3E2A9TND9
24129,A9TND9,Q4ZQQ7,4.5e-26,96.2,Pseudomonas syringae pv. syringae (strain B728a),A9TND9Q4ZQQ7,Q4ZQQ7A9TND9
24130,A9TND9,Q55367,8.7e-26,95.3,Synechocystis sp. (strain PCC 6803 / Kazusa),A9TND9Q55367,Q55367A9TND9
24131,A9TND9,Q3M8R1,2e-25,94.1,Trichormus variabilis ATCC 29413,A9TND9Q3M8R1,Q3M8R1A9TND9
24132,A6MVZ5,Q4G393,3.5e-43,150.7,Emiliania huxleyi,A6MVZ5Q4G393,Q4G393A6MVZ5
24133,A6MVZ5,Q8DHW7,1e-41,146.0,Thermosynechococcus elongatus (strain BP-1),A6MVZ5Q8DHW7,Q8DHW7A6MVZ5
24134,A6MVZ5,Q9MUR6,3.4e-41,144.3,Mesostigma viride,A6MVZ5Q9MUR6,Q9MUR6A6MVZ5
24135,A6MVZ5,A6YGB4,1.4e-40,142.4,Pleurastrum terricola,A6MVZ5A6YGB4,A6YGB4A6MVZ5
24136,A6MVZ5,P52858,1.9e-40,141.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A6MVZ5P52858,P52858A6MVZ5
24137,A6MVZ5,P51319,2.6e-40,141.5,Porphyra purpurea,A6MVZ5P51319,P51319A6MVZ5
24138,A6MVZ5,B7JUU6,1.6e-39,138.9,Rippkaea orientalis (strain PCC 8801),A6MVZ5B7JUU6,B7JUU6A6MVZ5
24139,A6MVZ5,Q10ZE2,2.3999999999999998e-39,138.4,Trichodesmium erythraeum (strain IMS101),A6MVZ5Q10ZE2,Q10ZE2A6MVZ5
24140,A6MVZ5,B2J6L1,1.5000000000000002e-38,135.9,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),A6MVZ5B2J6L1,B2J6L1A6MVZ5
24141,A6MVZ5,Q9GGE2,1.2e-37,132.9,Chlamydomonas reinhardtii,A6MVZ5Q9GGE2,Q9GGE2A6MVZ5
24142,A6MVZ5,P48138,1.8e-37,132.4,Cyanophora paradoxa,A6MVZ5P48138,P48138A6MVZ5
24143,A6MVZ5,A0T0S2,2.9e-37,131.7,Thalassiosira pseudonana,A6MVZ5A0T0S2,A0T0S2A6MVZ5
24144,A6MVZ5,A0T0B3,3.1e-37,131.6,Phaeodactylum tricornutum (strain CCAP 1055/1),A6MVZ5A0T0B3,A0T0B3A6MVZ5
24145,A6MVZ5,Q6B8U8,3.7e-37,131.4,Gracilaria tenuistipitata var. liui,A6MVZ5Q6B8U8,Q6B8U8A6MVZ5
24146,Q1XD97,P49474,1.3e-21,78.5,Trieres chinensis,Q1XD97P49474,P49474Q1XD97
24147,Q1XD97,A0T0U1,1.9e-21,78.1,Thalassiosira pseudonana,Q1XD97A0T0U1,A0T0U1Q1XD97
24148,Q1XD97,O78465,3.2e-21,77.3,Guillardia theta,Q1XD97O78465,O78465Q1XD97
24149,Q1XD97,B0JLV0,5e-20,73.7,Microcystis aeruginosa (strain NIES-843),Q1XD97B0JLV0,B0JLV0Q1XD97
24150,Q1XD97,Q9TM21,5.4e-20,73.6,Cyanidium caldarium,Q1XD97Q9TM21,Q9TM21Q1XD97
24151,Q1XD97,Q85FQ3,1.5e-19,72.2,Cyanidioschyzon merolae (strain 10D),Q1XD97Q85FQ3,Q85FQ3Q1XD97
24152,Q1XD97,Q8YQI1,1.9e-19,71.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),Q1XD97Q8YQI1,Q8YQI1Q1XD97
24153,Q1XD97,Q10YS9,3.3e-19,71.2,Trichodesmium erythraeum (strain IMS101),Q1XD97Q10YS9,Q10YS9Q1XD97
24154,Q1XD97,Q5N555,1.3e-18,69.3,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Q1XD97Q5N555,Q5N555Q1XD97
24155,Q1XD97,Q8KPP2,1.3e-18,69.3,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q1XD97Q8KPP2,Q8KPP2Q1XD97
24156,Q1XD97,Q8RSW2,2.8e-18,68.3,Synechococcus sp. PCC 7002,Q1XD97Q8RSW2,Q8RSW2Q1XD97
24157,Q1XD97,B8HVD8,2.9e-18,68.3,Cyanothece sp. (strain PCC 7425 / ATCC 29141),Q1XD97B8HVD8,B8HVD8Q1XD97
24158,P0A404,P72986,8.3e-11,43.9,Synechocystis sp. (strain PCC 6803 / Kazusa),P0A404P72986,P72986P0A404
24159,P0A404,Q5MZZ8,1.3e-09,40.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),P0A404Q5MZZ8,Q5MZZ8P0A404
24160,P0A404,Q0P3J8,3.5e-06,30.4,Ostreococcus tauri,P0A404Q0P3J8,Q0P3J8P0A404
24161,P0A404,Q6B8K0,7.3e-06,29.5,Gracilaria tenuistipitata var. liui,P0A404Q6B8K0,Q6B8K0P0A404
24162,P0A404,Q9MS77,1e-05,29.1,Phacus acuminatus,P0A404Q9MS77,Q9MS77P0A404
24163,P0A404,P48185,1e-05,29.1,Cyanophora paradoxa,P0A404P48185,P48185P0A404
24164,P0A404,Q9MS53,2.2e-05,28.1,Euglena viridis,P0A404Q9MS53,Q9MS53P0A404
24165,P0A404,O78448,2.5e-05,28.0,Guillardia theta,P0A404O78448,O78448P0A404
24166,P0A404,Q9MS65,3e-05,27.7,Euglena mutabilis,P0A404Q9MS65,Q9MS65P0A404
24167,P0A404,P51395,3.6e-05,27.5,Porphyra purpurea,P0A404P51395,P51395P0A404
24168,P0A404,Q1XD92,3.6e-05,27.5,Pyropia yezoensis,P0A404Q1XD92,Q1XD92P0A404
24169,P0A404,Q9MS68,3.8e-05,27.4,Euglena deses,P0A404Q9MS68,Q9MS68P0A404
24170,P0A404,Q9MS71,8.5e-05,26.4,Lepocinclis buetschlii,P0A404Q9MS71,Q9MS71P0A404
24171,P0A404,P49487,0.00017,25.6,Trieres chinensis,P0A404P49487,P49487P0A404
24172,P0A404,Q7U5H9,0.00019,25.4,Synechococcus sp. (strain WH8102),P0A404Q7U5H9,Q7U5H9P0A404
24173,B8HPI7,B2J0D0,6.4e-60,204.4,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),B8HPI7B2J0D0,B2J0D0B8HPI7
24174,B8HPI7,Q3M7I1,3.200000000000001e-59,202.2,Trichormus variabilis ATCC 29413,B8HPI7Q3M7I1,Q3M7I1B8HPI7
24175,B8HPI7,B1WXF7,5.2e-58,198.3,Crocosphaera subtropica (strain ATCC 51142 / BH68),B8HPI7B1WXF7,B1WXF7B8HPI7
24176,B8HPI7,P48957,6.5e-58,198.0,Synechocystis sp. (strain PCC 6803 / Kazusa),B8HPI7P48957,P48957B8HPI7
24177,B8HPI7,B1XIQ9,2.6e-55,189.6,Synechococcus sp. PCC 7002,B8HPI7B1XIQ9,B1XIQ9B8HPI7
24178,B8HPI7,B0BZS8,9.099999999999997e-55,187.9,Acaryochloris marina (strain MBIC 11017),B8HPI7B0BZS8,B0BZS8B8HPI7
24179,B8HPI7,Q31NR2,9.4e-53,181.4,Synechococcus elongatus (strain PCC 7942 / FACHB-805),B8HPI7Q31NR2,Q31NR2B8HPI7
24180,B8HPI7,Q5N5F3,9.4e-53,181.4,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),B8HPI7Q5N5F3,Q5N5F3B8HPI7
24181,B8HPI7,B1X4K3,2.9e-52,179.8,Paulinella chromatophora,B8HPI7B1X4K3,B1X4K3B8HPI7
24182,B8HPI7,A2C5Q6,4.5e-52,179.2,Prochlorococcus marinus str. MIT 9303,B8HPI7A2C5Q6,A2C5Q6B8HPI7
24183,B8HPI7,A9BDA6,6.2e-52,178.8,Prochlorococcus marinus (strain MIT 9211),B8HPI7A9BDA6,A9BDA6B8HPI7
24184,B8HPI7,Q7V999,6.5e-52,178.7,Prochlorococcus marinus (strain MIT 9313),B8HPI7Q7V999,Q7V999B8HPI7
24185,B8HPI7,Q7V9L1,6.7e-52,178.7,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120),B8HPI7Q7V9L1,Q7V9L1B8HPI7
24186,B8HPI7,A5GQ03,2e-51,177.1,Synechococcus sp. (strain RCC307),B8HPI7A5GQ03,A5GQ03B8HPI7
24187,B8HPI7,Q0IE26,2.2e-51,177.0,Synechococcus sp. (strain CC9311),B8HPI7Q0IE26,Q0IE26B8HPI7
24188,A2BZ50,Q7UZJ9,2.9e-155,519.8,Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4),A2BZ50Q7UZJ9,Q7UZJ9A2BZ50
24189,A2BZ50,A8G7G9,2.7e-136,457.7,Prochlorococcus marinus (strain MIT 9215),A2BZ50A8G7G9,A8G7G9A2BZ50
24190,A2BZ50,Q7V9K9,1.9e-115,389.5,Prochlorococcus marinus (strain SARG / CCMP1375 / SS120),A2BZ50Q7V9K9,Q7V9K9A2BZ50
24191,A2BZ50,Q46IC6,1.9e-114,386.2,Prochlorococcus marinus (strain NATL2A),A2BZ50Q46IC6,Q46IC6A2BZ50
24192,A2BZ50,A2C5C9,3.1999999999999998e-114,385.4,Prochlorococcus marinus (strain NATL1A),A2BZ50A2C5C9,A2C5C9A2BZ50
24193,A2BZ50,Q7V9A2,1.5e-110,373.4,Prochlorococcus marinus (strain MIT 9313),A2BZ50Q7V9A2,Q7V9A2A2BZ50
24194,A2BZ50,Q112X4,1.6e-110,373.3,Trichodesmium erythraeum (strain IMS101),A2BZ50Q112X4,Q112X4A2BZ50
24195,A2BZ50,Q7UA46,3.7e-108,365.6,Synechococcus sp. (strain WH8102),A2BZ50Q7UA46,Q7UA46A2BZ50
24196,A2BZ50,Q3ANJ9,4.1e-108,365.4,Synechococcus sp. CC9605,A2BZ50Q3ANJ9,Q3ANJ9A2BZ50
24197,A2BZ50,Q3B0V2,1.8e-107,363.3,Synechococcus sp. CC9902,A2BZ50Q3B0V2,Q3B0V2A2BZ50
24198,A2BZ50,A5GHR6,1.8e-106,360.1,Synechococcus sp. (strain WH7803),A2BZ50A5GHR6,A5GHR6A2BZ50
24199,A2BZ50,B0C390,3.7e-106,359.0,Acaryochloris marina (strain MBIC 11017),A2BZ50B0C390,B0C390A2BZ50
24200,A2BZ50,Q5N3I3,1.0999999999999998e-105,357.5,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),A2BZ50Q5N3I3,Q5N3I3A2BZ50
24201,A2BZ50,Q31QR1,1.1999999999999999e-105,357.4,Synechococcus elongatus (strain PCC 7942 / FACHB-805),A2BZ50Q31QR1,Q31QR1A2BZ50
24202,Q85CI4,Q8WI10,5.9e-17,63.5,Psilotum nudum,Q85CI4Q8WI10,Q8WI10Q85CI4
24203,Q85CI4,Q32RL7,5.3e-16,60.6,Zygnema circumcarinatum,Q85CI4Q32RL7,Q32RL7Q85CI4
24204,Q85CI4,P28251,8.9e-16,59.9,Angiopteris lygodiifolia,Q85CI4P28251,P28251Q85CI4
24205,Q85CI4,Q9MUQ4,1.4e-14,56.3,Mesostigma viride,Q85CI4Q9MUQ4,Q9MUQ4Q85CI4
24206,Q85CI4,Q85FL2,1.5e-14,56.2,Adiantum capillus-veneris,Q85CI4Q85FL2,Q85FL2Q85CI4
24207,Q85CI4,Q20F22,7.2e-14,54.2,Oltmannsiellopsis viridis,Q85CI4Q20F22,Q20F22Q85CI4
24208,Q85CI4,O78462,7.6e-13,51.1,Guillardia theta,Q85CI4O78462,O78462Q85CI4
24209,Q85CI4,Q5SCW1,8.5e-13,51.0,Huperzia lucidula,Q85CI4Q5SCW1,Q5SCW1Q85CI4
24210,Q85CI4,Q3ZJ61,8.6e-13,51.0,Tupiella akineta,Q85CI4Q3ZJ61,Q3ZJ61Q85CI4
24211,Q85CI4,Q9TL12,1e-12,50.8,Nephroselmis olivacea,Q85CI4Q9TL12,Q9TL12Q85CI4
24212,Q85CI4,Q1XDA0,1.1e-12,50.7,Pyropia yezoensis,Q85CI4Q1XDA0,Q1XDA0Q85CI4
24213,Q85CI4,P51387,2.4e-12,49.6,Porphyra purpurea,Q85CI4P51387,P51387Q85CI4
24214,Q85CI4,P58214,2.6e-12,49.5,Chlorella vulgaris,Q85CI4P58214,P58214Q85CI4
24215,Q85CI4,Q0P3K0,9.2e-12,47.9,Ostreococcus tauri,Q85CI4Q0P3K0,Q0P3K0Q85CI4
24216,Q85CI4,A0T0S9,8.3e-11,45.0,Thalassiosira pseudonana,Q85CI4A0T0S9,A0T0S9Q85CI4
24217,P28253,Q9TM47,1.8e-231,772.6,Cyanidium caldarium,P28253Q9TM47,Q9TM47P28253
24218,P28253,B2XTH7,3.4e-231,771.7,Heterosigma akashiwo (strain CCMP452),P28253B2XTH7,B2XTH7P28253
24219,P28253,P49478,3.8999999999999998e-230,768.2,Trieres chinensis,P28253P49478,P49478P28253
24220,P28253,P51357,7.9e-227,757.3,Porphyra purpurea,P28253P51357,P51357P28253
24221,P28253,Q1XDD0,3.0000000000000003e-224,748.8,Pyropia yezoensis,P28253Q1XDD0,Q1XDD0P28253
24222,P28253,B1WQ89,6.800000000000001e-224,747.7,Crocosphaera subtropica (strain ATCC 51142 / BH68),P28253B1WQ89,B1WQ89P28253
24223,P28253,O78427,4.1e-223,745.1,Guillardia theta,P28253O78427,O78427P28253
24224,P28253,Q8CM25,2.4e-221,739.3,Thermosynechococcus elongatus (strain BP-1),P28253Q8CM25,Q8CM25P28253
24225,P28253,Q3MA59,1.4999999999999999e-220,736.6,Trichormus variabilis ATCC 29413,P28253Q3MA59,Q3MA59P28253
24226,P28253,A5GQK3,2.2e-220,736.1,Synechococcus sp. (strain RCC307),P28253A5GQK3,A5GQK3P28253
24227,P28253,Q2JKT8,2.9999999999999998e-220,735.6,Synechococcus sp. (strain JA-2-3B'a(2-13)),P28253Q2JKT8,Q2JKT8P28253
24228,P28253,P48079,5.7e-220,734.8,Cyanophora paradoxa,P28253P48079,P48079P28253
24229,P28253,Q7TTI2,7.4e-220,734.4,Synechococcus sp. (strain WH8102),P28253Q7TTI2,Q7TTI2P28253
24230,B1XLQ0,B7KIS7,7.7e-13,50.9,Gloeothece citriformis (strain PCC 7424),B1XLQ0B7KIS7,B7KIS7B1XLQ0
24231,B1XLQ0,B0JKN9,1.8e-11,46.8,Microcystis aeruginosa (strain NIES-843),B1XLQ0B0JKN9,B0JKN9B1XLQ0
24232,B1XLQ0,B7JX92,2.5e-11,46.4,Rippkaea orientalis (strain PCC 8801),B1XLQ0B7JX92,B7JX92B1XLQ0
24233,B1XLQ0,Q5N047,3.6e-11,45.9,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),B1XLQ0Q5N047,Q5N047B1XLQ0
24234,B1XLQ0,B1WXD2,2.4e-10,43.4,Crocosphaera subtropica (strain ATCC 51142 / BH68),B1XLQ0B1WXD2,B1WXD2B1XLQ0
24235,B1XLQ0,B2J1B5,2.6e-10,43.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),B1XLQ0B2J1B5,B2J1B5B1XLQ0
24236,B1XLQ0,P73676,2.2e-09,40.5,Synechocystis sp. (strain PCC 6803 / Kazusa),B1XLQ0P73676,P73676B1XLQ0
24237,B1XLQ0,Q3M6U8,1.7e-08,37.9,Trichormus variabilis ATCC 29413,B1XLQ0Q3M6U8,Q3M6U8B1XLQ0
24238,B1XLQ0,Q8YY27,1.7e-08,37.9,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),B1XLQ0Q8YY27,Q8YY27B1XLQ0
24239,B1XLQ0,P80470,4.6e-08,36.5,Spinacia oleracea,B1XLQ0P80470,P80470B1XLQ0
24240,B1XLQ0,B8HUV5,1.6e-07,34.9,Cyanothece sp. (strain PCC 7425 / ATCC 29141),B1XLQ0B8HUV5,B8HUV5B1XLQ0
24241,B1XLQ0,Q8DKM3,2.7e-07,34.2,Thermosynechococcus elongatus (strain BP-1),B1XLQ0Q8DKM3,Q8DKM3B1XLQ0
24242,B1XLQ0,P51206,2.7e-07,34.2,Porphyra purpurea,B1XLQ0P51206,P51206B1XLQ0
24243,B1XLQ0,A0T0V3,3e-07,34.1,Thalassiosira pseudonana,B1XLQ0A0T0V3,A0T0V3B1XLQ0
24244,B1XLQ0,Q6B935,6.6e-07,33.0,Gracilaria tenuistipitata var. liui,B1XLQ0Q6B935,Q6B935B1XLQ0
24245,B1XLQ0,Q4G385,7.1e-07,33.0,Emiliania huxleyi,B1XLQ0Q4G385,Q4G385B1XLQ0
24246,Q20EX6,Q1KVS1,7.500000000000001e-145,486.8,Tetradesmus obliquus,Q20EX6Q1KVS1,Q1KVS1Q20EX6
24247,Q20EX6,Q3ZJ66,8.8e-145,486.6,Tupiella akineta,Q20EX6Q3ZJ66,Q3ZJ66Q20EX6
24248,Q20EX6,Q6YXL3,7.7e-141,473.7,Physcomitrium patens,Q20EX6Q6YXL3,Q6YXL3Q20EX6
24249,Q20EX6,P06246,1.2e-139,469.8,Marchantia polymorpha,Q20EX6P06246,P06246Q20EX6
24250,Q20EX6,Q32RJ3,2.4e-139,468.8,Zygnema circumcarinatum,Q20EX6Q32RJ3,Q32RJ3Q20EX6
24251,Q20EX6,Q32RX2,3.1e-138,465.1,Staurastrum punctulatum,Q20EX6Q32RX2,Q32RX2Q20EX6
24252,Q20EX6,Q19V68,5.2999999999999997e-138,464.3,Chlorokybus atmophyticus,Q20EX6Q19V68,Q19V68Q20EX6
24253,Q20EX6,Q8S8W4,8.4e-137,460.4,Atropa belladonna,Q20EX6Q8S8W4,Q8S8W4Q20EX6
24254,Q20EX6,Q6EW40,3.4e-136,458.4,Nymphaea alba,Q20EX6Q6EW40,Q6EW40Q20EX6
24255,Q20EX6,A0A348,1e-135,456.8,Coffea arabica,Q20EX6A0A348,A0A348Q20EX6
24256,Q20EX6,Q3V522,1.3e-135,456.5,Acorus calamus,Q20EX6Q3V522,Q3V522Q20EX6
24257,Q20EX6,A6YG68,1.6e-135,456.2,Pleurastrum terricola,Q20EX6A6YG68,A6YG68Q20EX6
24258,Q20EX6,Q3C1I8,1.7e-135,456.1,Nicotiana sylvestris,Q20EX6Q3C1I8,Q3C1I8Q20EX6
24259,Q20EX6,P06449,1.7e-135,456.1,Nicotiana tabacum,Q20EX6P06449,P06449Q20EX6
24260,Q20EX6,A2T346,2.7e-135,455.5,Angiopteris evecta,Q20EX6A2T346,A2T346Q20EX6
24261,Q20EX6,Q06RB9,3e-135,455.3,Jasminum nudiflorum,Q20EX6Q06RB9,Q06RB9Q20EX6
24262,Q5N095,Q31LM9,2.5e-110,370.4,Synechococcus elongatus (strain PCC 7942 / FACHB-805),Q5N095Q31LM9,Q31LM9Q5N095
24263,Q5N095,Q3M9H7,2.4e-70,240.4,Trichormus variabilis ATCC 29413,Q5N095Q3M9H7,Q3M9H7Q5N095
24264,Q5N095,P0A387,2.4e-70,240.4,Thermosynechococcus vulcanus,Q5N095P0A387,P0A387Q5N095
24265,Q5N095,B2IVD8,4.4e-69,236.3,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),Q5N095B2IVD8,B2IVD8Q5N095
24266,Q5N095,A0T0C6,7.900000000000002e-59,202.9,Phaeodactylum tricornutum (strain CCAP 1055/1),Q5N095A0T0C6,A0T0C6Q5N095
24267,Q5N095,Q6B942,9.500000000000001e-59,202.7,Gracilaria tenuistipitata var. liui,Q5N095Q6B942,Q6B942Q5N095
24268,Q5N095,Q8WKF2,4.7e-58,200.4,Pyropia yezoensis,Q5N095Q8WKF2,Q8WKF2Q5N095
24269,Q5N095,Q111E9,2.2e-55,191.7,Trichodesmium erythraeum (strain IMS101),Q5N095Q111E9,Q111E9Q5N095
24270,Q5N095,B0C731,6.3e-54,187.0,Acaryochloris marina (strain MBIC 11017),Q5N095B0C731,B0C731Q5N095
24271,P14581,P14579,4.7e-305,1016.6,Oryctolagus cuniculus,P14581P14579,P14579P14581
24272,P14581,Q5TCH4,2.9e-275,918.4,Homo sapiens,P14581Q5TCH4,Q5TCH4P14581
24273,P14581,A2A974,3.6e-270,901.5,Mus musculus,P14581A2A974,A2A974P14581
24274,P14581,Q91WL5,4.9e-269,897.8,Mus musculus,P14581Q91WL5,Q91WL5P14581
24275,P14581,P24464,1.3999999999999998e-264,883.1,Rattus norvegicus,P14581P24464,P24464P14581
24276,P14581,Q8SPK0,8.699999999999999e-263,877.2,Sus scrofa,P14581Q8SPK0,Q8SPK0P14581
24277,P14581,P20817,3.1e-255,852.3,Rattus norvegicus,P14581P20817,P20817P14581
24278,P14581,P20816,2.5e-252,842.7,Rattus norvegicus,P14581P20816,P20816P14581
24279,P14581,O35728,7.1e-252,841.2,Mus musculus,P14581O35728,O35728P14581
24280,P14581,P15128,1.2e-177,596.2,Oryctolagus cuniculus,P14581P15128,P15128P14581
24281,P14581,Q64462,1.4e-177,596.1,Mus musculus,P14581Q64462,Q64462P14581
24282,P14581,P15129,2.2e-174,585.6,Rattus norvegicus,P14581P15129,P15129P14581
24283,B0JT88,P37277,1.5e-75,257.6,Synechocystis sp. (strain PCC 6803 / Kazusa),B0JT88P37277,P37277B0JT88
24284,B0JT88,Q8DGB4,5.300000000000001e-74,252.6,Thermosynechococcus elongatus (strain BP-1),B0JT88Q8DGB4,Q8DGB4B0JT88
24285,B0JT88,B8HRF0,4.1e-71,243.2,Cyanothece sp. (strain PCC 7425 / ATCC 29141),B0JT88B8HRF0,B8HRF0B0JT88
24286,B0JT88,P25902,3.8e-67,230.2,Synechococcus elongatus,B0JT88P25902,P25902B0JT88
24287,B0JT88,P51222,1.6e-50,176.2,Porphyra purpurea,B0JT88P51222,P51222B0JT88
24288,B0JT88,O78469,3.6e-49,171.8,Guillardia theta,B0JT88O78469,O78469B0JT88
24289,B0JT88,Q4G3B5,1.9e-46,162.9,Emiliania huxleyi,B0JT88Q4G3B5,Q4G3B5B0JT88
24290,B0JT88,B2J591,9.7e-44,154.1,Nostoc punctiforme (strain ATCC 29133 / PCC 73102),B0JT88B2J591,B2J591B0JT88
24291,B0JT88,A0T0M6,1.2e-42,150.6,Phaeodactylum tricornutum (strain CCAP 1055/1),B0JT88A0T0M6,A0T0M6B0JT88
24292,B0JT88,Q85FP8,1.5e-42,150.2,Cyanidioschyzon merolae (strain 10D),B0JT88Q85FP8,Q85FP8B0JT88
24293,B0JT88,P58577,6.9e-42,148.1,Nostoc sp. (strain PCC 7120 / SAG 25.82 / UTEX 2576),B0JT88P58577,P58577B0JT88
24294,B0JT88,P31092,2.3999999999999997e-41,146.3,Trichormus variabilis ATCC 29413,B0JT88P31092,P31092B0JT88
24295,B0JT88,O31126,2.6e-41,146.2,Mastigocladus laminosus,B0JT88O31126,O31126B0JT88
24296,Q06FX4,P62481,8.5e-44,151.5,Marchantia polymorpha,Q06FX4P62481,P62481Q06FX4
24297,Q06FX4,P62480,8.5e-44,151.5,Oenothera elata subsp. hookeri,Q06FX4P62480,P62480Q06FX4
24298,Q06FX4,B0Z548,8.5e-44,151.5,Oenothera glazioviana,Q06FX4B0Z548,B0Z548Q06FX4
24299,Q06FX4,B0Z4W4,8.5e-44,151.5,Oenothera biennis,Q06FX4B0Z4W4,B0Z4W4Q06FX4
24300,Q06FX4,A9QC36,8.5e-44,151.5,Trachelium caeruleum,Q06FX4A9QC36,A9QC36Q06FX4
24301,Q06FX4,Q6WQW2,8.5e-44,151.5,Cucumis sativus,Q06FX4Q6WQW2,Q6WQW2Q06FX4
24302,Q06FX4,Q6YXK1,8.5e-44,151.5,Physcomitrium patens,Q06FX4Q6YXK1,Q6YXK1Q06FX4
24303,Q06FX4,B0Z5D2,8.5e-44,151.5,Oenothera parviflora,Q06FX4B0Z5D2,B0Z5D2Q06FX4
24304,Q06FX4,B0Z4N0,8.5e-44,151.5,Oenothera argillicola,Q06FX4B0Z4N0,B0Z4N0Q06FX4
24305,Q06FX4,Q2VEI9,8.5e-44,151.5,Solanum tuberosum,Q06FX4Q2VEI9,Q2VEI9Q06FX4
24306,Q06FX4,Q06GS3,8.5e-44,151.5,Piper cenocladum,Q06FX4Q06GS3,Q06GS3Q06FX4
24307,Q06FX4,B1A922,1.2e-43,151.1,Carica papaya,Q06FX4B1A922,B1A922Q06FX4
24308,Q06FX4,P06286,1.2e-43,151.1,Nicotiana tabacum,Q06FX4P06286,P06286Q06FX4
24309,Q06FX4,Q6EW61,1.2e-43,151.1,Nymphaea alba,Q06FX4Q6EW61,Q6EW61Q06FX4
24310,Q06FX4,Q09X30,1.2e-43,151.1,Morus indica,Q06FX4Q09X30,Q09X30Q06FX4
24311,Q06FX4,Q85FN2,1.2e-43,151.1,Adiantum capillus-veneris,Q06FX4Q85FN2,Q85FN2Q06FX4
24312,Q06FX4,A4QJA2,1.2e-43,151.1,Aethionema cordifolium,Q06FX4A4QJA2,A4QJA2Q06FX4
24313,Q06FX4,P61172,1.2e-43,151.1,Anthoceros angustus,Q06FX4P61172,P61172Q06FX4
24314,Q06FX4,A7M953,1.2e-43,151.1,Cuscuta reflexa,Q06FX4A7M953,A7M953Q06FX4
24315,A0T0B7,P49489,7.899999999999999e-99,333.3,Trieres chinensis,A0T0B7P49489,P49489A0T0B7
24316,A0T0B7,Q4G3F7,1.6e-88,299.7,Emiliania huxleyi,A0T0B7Q4G3F7,Q4G3F7A0T0B7
24317,A0T0B7,O78415,1.2e-86,293.7,Guillardia theta,A0T0B7O78415,O78415A0T0B7
24318,A0T0B7,Q6B904,4.5e-83,282.0,Gracilaria tenuistipitata var. liui,A0T0B7Q6B904,Q6B904A0T0B7
24319,A0T0B7,P48122,4.6e-83,282.0,Cyanophora paradoxa,A0T0B7P48122,P48122A0T0B7
24320,A0T0B7,Q1XDE7,5.6e-83,281.7,Pyropia yezoensis,A0T0B7Q1XDE7,Q1XDE7A0T0B7
24321,A0T0B7,P51340,1.7e-82,280.2,Porphyra purpurea,A0T0B7P51340,P51340A0T0B7
24322,A0T0B7,Q3ZJ11,3.6e-82,279.1,Tupiella akineta,A0T0B7Q3ZJ11,Q3ZJ11A0T0B7
24323,A0T0B7,Q71KP3,7.3e-81,274.8,Spirogyra maxima,A0T0B7Q71KP3,Q71KP3A0T0B7
24324,A0T0B7,Q1ACH0,1.5e-80,273.8,Chara vulgaris,A0T0B7Q1ACH0,Q1ACH0A0T0B7
24325,A0T0B7,Q85AY5,1.8e-80,273.5,Anthoceros angustus,A0T0B7Q85AY5,Q85AY5A0T0B7
24326,A0T0B7,Q32RU6,2.3e-80,273.2,Staurastrum punctulatum,A0T0B7Q32RU6,Q32RU6A0T0B7
24327,A0T0B7,Q3V503,2.8000000000000003e-80,272.9,Acorus calamus,A0T0B7Q3V503,Q3V503A0T0B7
24328,A0T0B7,P06250,3.1e-80,272.8,Marchantia polymorpha,A0T0B7P06250,P06250A0T0B7
